RXCUI|GENERIC_RXCUI|TTY|FULL_NAME|RXN_DOSE_FORM|FULL_GENERIC_NAME|BRAND_NAME|DISPLAY_NAME|ROUTE|NEW_DOSE_FORM|STRENGTH|SUPPRESS_FOR|DISPLAY_NAME_SYNONYM|IS_RETIRED|SXDG_RXCUI|SXDG_TTY|SXDG_NAME
1000058||SCD|Doxepin Hydrochloride 100 MG Oral Capsule|Oral Capsule|Doxepin Hydrochloride 100 MG Oral Capsule||Doxepin (Oral Pill)|Oral Pill|Cap|100 mg||||1160769|SCDG|Doxepin Pill
1000064||SCD|Doxepin Hydrochloride 150 MG Oral Capsule|Oral Capsule|Doxepin Hydrochloride 150 MG Oral Capsule||Doxepin (Oral Pill)|Oral Pill|Cap|150 mg||||1160769|SCDG|Doxepin Pill
1000070||SCD|Doxepin Hydrochloride 25 MG Oral Capsule|Oral Capsule|Doxepin Hydrochloride 25 MG Oral Capsule||Doxepin (Oral Pill)|Oral Pill|Cap|25 mg||||1160769|SCDG|Doxepin Pill
1000076||SCD|Doxepin Hydrochloride 50 MG Oral Capsule|Oral Capsule|Doxepin Hydrochloride 50 MG Oral Capsule||Doxepin (Oral Pill)|Oral Pill|Cap|50 mg||||1160769|SCDG|Doxepin Pill
1000085||SCD|alcaftadine 2.5 MG/ML Ophthalmic Solution|Ophthalmic Solution|alcaftadine 2.5 MG/ML Ophthalmic Solution||Alcaftadine (Ophthalmic)|Ophthalmic|Sol|0.25%||||1154608|SCDG|alcaftadine Ophthalmic Product
1000089|1000085|SBD|alcaftadine 2.5 MG/ML Ophthalmic Solution [Lastacaft]|Ophthalmic Solution|alcaftadine 2.5 MG/ML Ophthalmic Solution|LASTACAFT|LASTACAFT (Ophthalmic)|Ophthalmic|Sol|0.25%||||1175652|SBDG|Lastacaft Ophthalmic Product
1000091||SCD|Doxepin Hydrochloride 50 MG/ML Topical Cream|Topical Cream|Doxepin Hydrochloride 50 MG/ML Topical Cream||Doxepin (Topical)|Topical|Cream|5%||||1160770|SCDG|Doxepin Topical Product
1000093|1000091|SBD|Doxepin Hydrochloride 50 MG/ML Topical Cream [Prudoxin]|Topical Cream|Doxepin Hydrochloride 50 MG/ML Topical Cream|PRUDOXIN|PRUDOXIN (Topical)|Topical|Cream|5%||||1182490|SBDG|Prudoxin Topical Product
1000095|1000091|SBD|Doxepin Hydrochloride 50 MG/ML Topical Cream [Zonalon]|Topical Cream|Doxepin Hydrochloride 50 MG/ML Topical Cream|ZONALON|ZONALON (Topical)|Topical|Cream|5%||||1188181|SBDG|Zonalon Topical Product
1000097||SCD|Doxepin Hydrochloride 75 MG Oral Capsule|Oral Capsule|Doxepin Hydrochloride 75 MG Oral Capsule||Doxepin (Oral Pill)|Oral Pill|Cap|75 mg||||1160769|SCDG|Doxepin Pill
1000107||SCD|incobotulinumtoxin A 200 UNT/ML Injectable Solution|Injectable Solution|incobotulinumtoxin A 200 UNT/ML Injectable Solution||Incobotulinumtoxin A (Injectable)|Injectable|Sol|200 unt/ml||||1160687|SCDG|incobotulinumtoxin A Injectable Product
1000111|1000107|SBD|incobotulinumtoxin A 200 UNT/ML Injectable Solution [Xeomin]|Injectable Solution|incobotulinumtoxin A 200 UNT/ML Injectable Solution|XEOMIN|XEOMIN (Injectable)|Injectable|Sol|200 unt/ml||||1186417|SBDG|Xeomin Injectable Product
1000114||SCD|medroxyprogesterone acetate 10 MG Oral Tablet|Oral Tablet|medroxyprogesterone acetate 10 MG Oral Tablet||medroxyPROGESTERone (Oral Pill)|Oral Pill|Tab|10 mg||||1159195|SCDG|Medroxyprogesterone Pill
1000124|1000114|SBD|medroxyprogesterone acetate 10 MG Oral Tablet [Provera]|Oral Tablet|medroxyprogesterone acetate 10 MG Oral Tablet|PROVERA|PROVERA (Oral Pill)|Oral Pill|Tab|10 mg||||1182478|SBDG|Provera Pill
1000126||SCD|medroxyprogesterone acetate 150 MG/ML Injectable Suspension|Injectable Suspension|medroxyprogesterone acetate 150 MG/ML Injectable Suspension||medroxyPROGESTERone (Injectable)|Injectable|Susp|150 mg/ml||||1159192|SCDG|Medroxyprogesterone Injectable Product
1000128|1000126|SBD|medroxyprogesterone acetate 150 MG/ML Injectable Suspension [Depo-Provera]|Injectable Suspension|medroxyprogesterone acetate 150 MG/ML Injectable Suspension|DEPO-PROVERA|DEPO-PROVERA (Injectable)|Injectable|Susp|150 mg/ml||||1173112|SBDG|Depo-Provera Injectable Product
1000131||SCD|medroxyprogesterone acetate 400 MG/ML Injectable Suspension|Injectable Suspension|medroxyprogesterone acetate 400 MG/ML Injectable Suspension||medroxyPROGESTERone (Injectable)|Injectable|Susp|400 mg/ml||||1159192|SCDG|Medroxyprogesterone Injectable Product
1000133|1000131|SBD|medroxyprogesterone acetate 400 MG/ML Injectable Suspension [Depo-Provera]|Injectable Suspension|medroxyprogesterone acetate 400 MG/ML Injectable Suspension|DEPO-PROVERA|DEPO-PROVERA (Injectable)|Injectable|Susp|400 mg/ml||||1173112|SBDG|Depo-Provera Injectable Product
1000135||SCD|medroxyprogesterone acetate 2.5 MG Oral Tablet|Oral Tablet|medroxyprogesterone acetate 2.5 MG Oral Tablet||medroxyPROGESTERone (Oral Pill)|Oral Pill|Tab|2.5 mg||||1159195|SCDG|Medroxyprogesterone Pill
1000139|1000135|SBD|medroxyprogesterone acetate 2.5 MG Oral Tablet [Provera]|Oral Tablet|medroxyprogesterone acetate 2.5 MG Oral Tablet|PROVERA|PROVERA (Oral Pill)|Oral Pill|Tab|2.5 mg||||1182478|SBDG|Provera Pill
1000141||SCD|medroxyprogesterone acetate 5 MG Oral Tablet|Oral Tablet|medroxyprogesterone acetate 5 MG Oral Tablet||medroxyPROGESTERone (Oral Pill)|Oral Pill|Tab|5 mg||||1159195|SCDG|Medroxyprogesterone Pill
1000145|1000141|SBD|medroxyprogesterone acetate 5 MG Oral Tablet [Provera]|Oral Tablet|medroxyprogesterone acetate 5 MG Oral Tablet|PROVERA|PROVERA (Oral Pill)|Oral Pill|Tab|5 mg||||1182478|SBDG|Provera Pill
1000153||SCD|1 ML medroxyprogesterone acetate 150 MG/ML Prefilled Syringe|Prefilled Syringe|1 ML medroxyprogesterone acetate 150 MG/ML Prefilled Syringe||medroxyPROGESTERone (Injectable)|Injectable|Prefilled Syringe 1 ml |150 mg/ml||||1159192|SCDG|Medroxyprogesterone Injectable Product
1000154|1000153|SBD|1 ML medroxyprogesterone acetate 150 MG/ML Prefilled Syringe [Depo-Provera]|Prefilled Syringe|1 ML medroxyprogesterone acetate 150 MG/ML Prefilled Syringe|DEPO-PROVERA|DEPO-PROVERA (Injectable)|Injectable|Prefilled Syringe 1 ml |150 mg/ml||||1173112|SBDG|Depo-Provera Injectable Product
1000156||SCD|0.65 ML medroxyprogesterone acetate 160 MG/ML Prefilled Syringe|Prefilled Syringe|0.65 ML medroxyprogesterone acetate 160 MG/ML Prefilled Syringe||medroxyPROGESTERone (Injectable)|Injectable|Prefilled Syringe 0.65 ml |160 mg/ml||||1159192|SCDG|Medroxyprogesterone Injectable Product
1000158|1000156|SBD|0.65 ML medroxyprogesterone acetate 160 MG/ML Prefilled Syringe [depo-subQ provera]|Prefilled Syringe|0.65 ML medroxyprogesterone acetate 160 MG/ML Prefilled Syringe|DEPO-SUBQ PROVERA|DEPO-SUBQ PROVERA (Injectable)|Injectable|Prefilled Syringe 0.65 ml |160 mg/ml||||1186698|SBDG|depo-subQ provera Injectable Product
1000351||SCD|Estrogens, Conjugated (USP) 0.3 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet|Oral Tablet|Estrogens, Conjugated (USP) 0.3 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet||Estrogens, Conjugated (USP)/MedroxyPROGESTERone (Oral Pill)|Oral Pill|Tab|0.3-1.5 mg||||1165782|SCDG|Estrogens, Conjugated (USP) / Medroxyprogesterone Pill
1000352||SCD|Estrogens, Conjugated (USP) 0.45 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet|Oral Tablet|Estrogens, Conjugated (USP) 0.45 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet||Estrogens, Conjugated (USP)/MedroxyPROGESTERone (Oral Pill)|Oral Pill|Tab|0.45-1.5 mg||||1165782|SCDG|Estrogens, Conjugated (USP) / Medroxyprogesterone Pill
1000355||SCD|Estrogens, Conjugated (USP) 0.625 MG / medroxyprogesterone acetate 2.5 MG Oral Tablet|Oral Tablet|Estrogens, Conjugated (USP) 0.625 MG / medroxyprogesterone acetate 2.5 MG Oral Tablet||Estrogens, Conjugated (USP)/MedroxyPROGESTERone (Oral Pill)|Oral Pill|Tab|0.625-2.5 mg||||1165782|SCDG|Estrogens, Conjugated (USP) / Medroxyprogesterone Pill
1000356||SCD|Estrogens, Conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet|Oral Tablet|Estrogens, Conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet||Estrogens, Conjugated (USP)/MedroxyPROGESTERone (Oral Pill)|Oral Pill|Tab|0.625-5 mg||||1165782|SCDG|Estrogens, Conjugated (USP) / Medroxyprogesterone Pill
1000364||SCD|medroxyprogesterone acetate 100 MG Oral Tablet|Oral Tablet|medroxyprogesterone acetate 100 MG Oral Tablet||medroxyPROGESTERone (Oral Pill)|Oral Pill|Tab|100 mg||||1159195|SCDG|Medroxyprogesterone Pill
1000373||SCD|medroxyprogesterone acetate 100 MG/ML Injectable Suspension|Injectable Suspension|medroxyprogesterone acetate 100 MG/ML Injectable Suspension||medroxyPROGESTERone (Injectable)|Injectable|Susp|100 mg/ml||||1159192|SCDG|Medroxyprogesterone Injectable Product
1000374||SCD|medroxyprogesterone acetate 160 MG/ML Injectable Suspension|Injectable Suspension|medroxyprogesterone acetate 160 MG/ML Injectable Suspension||medroxyPROGESTERone (Injectable)|Injectable|Susp|160 mg/ml||||1159192|SCDG|Medroxyprogesterone Injectable Product
1000376||SCD|medroxyprogesterone acetate 200 MG Oral Tablet|Oral Tablet|medroxyprogesterone acetate 200 MG Oral Tablet||medroxyPROGESTERone (Oral Pill)|Oral Pill|Tab|200 mg||||1159195|SCDG|Medroxyprogesterone Pill
1000380||SCD|medroxyprogesterone acetate 250 MG Oral Tablet|Oral Tablet|medroxyprogesterone acetate 250 MG Oral Tablet||medroxyPROGESTERone (Oral Pill)|Oral Pill|Tab|250 mg||||1159195|SCDG|Medroxyprogesterone Pill
1000384||SCD|medroxyprogesterone acetate 400 MG Oral Tablet|Oral Tablet|medroxyprogesterone acetate 400 MG Oral Tablet||medroxyPROGESTERone (Oral Pill)|Oral Pill|Tab|400 mg||||1159195|SCDG|Medroxyprogesterone Pill
1000386||SCD|medroxyprogesterone acetate 500 MG Oral Tablet|Oral Tablet|medroxyprogesterone acetate 500 MG Oral Tablet||medroxyPROGESTERone (Oral Pill)|Oral Pill|Tab|500 mg||||1159195|SCDG|Medroxyprogesterone Pill
1000405||SCD|norethindrone acetate 5 MG Oral Tablet|Oral Tablet|norethindrone acetate 5 MG Oral Tablet||Norethindrone (Oral Pill)|Oral Pill|Tab|5 mg||||1159850|SCDG|Norethindrone Pill
1000407|1000405|SBD|norethindrone acetate 5 MG Oral Tablet [Aygestin]|Oral Tablet|norethindrone acetate 5 MG Oral Tablet|AYGESTIN|AYGESTIN (Oral Pill)|Oral Pill|Tab|5 mg||||1176311|SBDG|Aygestin Pill
1000480|1000479|BPCK|{1 (Bisacodyl 5 MG Enteric Coated Tablet) / 1 (2000 ML) (POLYETHYLENE GLYCOL 3350 105 MG/ML / Potassium Chloride 0.00497 MEQ/ML / Sodium Bicarbonate 0.017 MEQ/ML / Sodium Chloride 0.0479 MEQ/ML Oral Solution [Halflytely]) } Pack [Halflytely and Bisacodyl Bowel Prep Reformulated Aug 2010]|Pack|{1 (Bisacodyl 5 MG Enteric Coated Tablet) / 1 (2000 ML) (POLYETHYLENE GLYCOL 3350 105 MG/ML / Potassium Chloride 0.00497 MEQ/ML / Sodium Bicarbonate 0.017 MEQ/ML / Sodium Chloride 0.0479 MEQ/ML Oral Solution [Halflytely]) } Pack|HALFLYTELY AND BISACODYL BOWEL PREP REFORMULATED AUG 2010|HALFLYTELY AND BISACODYL BOWEL PREP REFORMULATED AUG 2010 (Pack)|Pack|Pack|mixed||||NA|NA|NA
1000487|1000486|BPCK|{14 (Estrogens, Conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet) / 14 (Estrogens, Conjugated (USP) 0.625 MG Oral Tablet) } Pack [Premphase 28 Day]|Pack|{14 (Estrogens, Conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet) / 14 (Estrogens, Conjugated (USP) 0.625 MG Oral Tablet) } Pack|PREMPHASE 28 DAY|PREMPHASE 28 DAY (Pack)|Pack|Pack|mixed||||NA|NA|NA
1000491|1000490|BPCK|{28 (Estrogens, Conjugated (USP) 0.3 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet) } Pack [Prempro 0.3/1.5 28 Day]|Pack|{28 (Estrogens, Conjugated (USP) 0.3 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet) } Pack|PREMPRO 0.3/1.5 28 DAY|PREMPRO 0.3/1.5 28 DAY (Pack)|Pack|Pack|mixed||||NA|NA|NA
1000495||SCD|resveratrol 250 MG Oral Capsule|Oral Capsule|resveratrol 250 MG Oral Capsule||Resveratrol (Oral Pill)|Oral Pill|Cap|250 mg||||1157424|SCDG|resveratrol Pill
1000497|1000496|BPCK|{28 (Estrogens, Conjugated (USP) 0.45 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet) } Pack [Prempro 0.45/1.5 28 Day]|Pack|{28 (Estrogens, Conjugated (USP) 0.45 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet) } Pack|PREMPRO 0.45/1.5 28 DAY|PREMPRO 0.45/1.5 28 DAY (Pack)|Pack|Pack|mixed||||NA|NA|NA
1000498||SCD|Beta Carotene 10000 UNT / Vitamin A 15000 UNT Oral Tablet|Oral Tablet|Beta Carotene 10000 UNT / Vitamin A 15000 UNT Oral Tablet||Beta Carotene/Vitamin A (Oral Pill)|Oral Pill|Tab|10,000-15,000 unt||||1153278|SCDG|Beta Carotene / Vitamin A Pill
1000499|1000395|BPCK|{28 (Estrogens, Conjugated (USP) 0.625 MG / medroxyprogesterone acetate 2.5 MG Oral Tablet) } Pack [Prempro 0.625/2.5 28 Day]|Pack|{28 (Estrogens, Conjugated (USP) 0.625 MG / medroxyprogesterone acetate 2.5 MG Oral Tablet) } Pack|PREMPRO 0.625/2.5 28 DAY|PREMPRO 0.625/2.5 28 DAY (Pack)|Pack|Pack|mixed||||NA|NA|NA
1000500|1000398|BPCK|{28 (Estrogens, Conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet) } Pack [Prempro 0.625/5 28 Day]|Pack|{28 (Estrogens, Conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet) } Pack|PREMPRO 0.625/5 28 DAY|PREMPRO 0.625/5 28 DAY (Pack)|Pack|Pack|mixed||||NA|NA|NA
1000502||SCD|Dextromethorphan 6 MG/ML / Guaifenesin 40 MG/ML / Phenylephrine 1.5 MG/ML Oral Solution|Oral Solution|Dextromethorphan 6 MG/ML / Guaifenesin 40 MG/ML / Phenylephrine 1.5 MG/ML Oral Solution||Dextromethorphan/Guaifenesin/Phenylephrine (Oral Liquid)|Oral Liquid|Sol|30-200-7.5 mg/5ml|C|||1154857|SCDG|Dextromethorphan / Guaifenesin / Phenylephrine Oral Liquid Product
1000555|999613|SBD|Sulfacetamide Sodium 100 MG/ML / Sulfur 50 MG/ML Medicated Liquid Soap [Prascion]|Medicated Liquid Soap|Sulfacetamide Sodium 100 MG/ML / Sulfur 50 MG/ML Medicated Liquid Soap|PRASCION|PRASCION (Soap)|Soap|Medicated Liquid Soap|10-5%||||1296287|SBDG|Prascion Soap Product
1000556||SCD|Fluorometholone 1 MG/ML / Sulfacetamide Sodium 100 MG/ML Ophthalmic Suspension|Ophthalmic Suspension|Fluorometholone 1 MG/ML / Sulfacetamide Sodium 100 MG/ML Ophthalmic Suspension||Fluorometholone/Sulfacetamide (Ophthalmic)|Ophthalmic|Susp|0.1-10%||||1160825|SCDG|Fluorometholone / Sulfacetamide Ophthalmic Product
1000558|1000556|SBD|Fluorometholone 1 MG/ML / Sulfacetamide Sodium 100 MG/ML Ophthalmic Suspension [FML-S]|Ophthalmic Suspension|Fluorometholone 1 MG/ML / Sulfacetamide Sodium 100 MG/ML Ophthalmic Suspension|FML-S|FML-S (Ophthalmic)|Ophthalmic|Susp|0.1-10%||||1174654|SBDG|FML-S Ophthalmic Product
1000592||SCD|autologous cultured chondrocytes 30000000 CELLS/ML Injectable Solution|Injectable Solution|autologous cultured chondrocytes 30000000 CELLS/ML Injectable Solution||Autologous cultured chondrocytes (Injectable)|Injectable|Sol|30,000,000 cells/ml||||1158296|SCDG|autologous cultured chondrocytes Injectable Product
1000596|1000592|SBD|autologous cultured chondrocytes 30000000 CELLS/ML Injectable Solution [Carticel]|Injectable Solution|autologous cultured chondrocytes 30000000 CELLS/ML Injectable Solution|CARTICEL|CARTICEL (Injectable)|Injectable|Sol|30,000,000 cells/ml||||1175802|SBDG|Carticel Injectable Product
1000636||SCD|dimethicone 12.5 MG/ML Topical Lotion|Topical Lotion|dimethicone 12.5 MG/ML Topical Lotion||Dimethicone (Topical)|Topical|Lotion|1.25%||||1159485|SCDG|dimethicone Topical Product
1000638||SCD|Pilocarpine Hydrochloride 0.04 MG/MG Ophthalmic Gel|Ophthalmic Gel|Pilocarpine Hydrochloride 0.04 MG/MG Ophthalmic Gel||Pilocarpine (Ophthalmic)|Ophthalmic|Gel|4%||||1158735|SCDG|Pilocarpine Ophthalmic Product
1000642|1000638|SBD|Pilocarpine Hydrochloride 0.04 MG/MG Ophthalmic Gel [Pilopine]|Ophthalmic Gel|Pilocarpine Hydrochloride 0.04 MG/MG Ophthalmic Gel|PILOPINE|PILOPINE (Ophthalmic)|Ophthalmic|Gel|4%||||1181238|SBDG|Pilopine Ophthalmic Product
1000647||SCD|Pilocarpine Hydrochloride 10 MG/ML Ophthalmic Solution|Ophthalmic Solution|Pilocarpine Hydrochloride 10 MG/ML Ophthalmic Solution||Pilocarpine (Ophthalmic)|Ophthalmic|Sol|1%||||1158735|SCDG|Pilocarpine Ophthalmic Product
1000652||SCD|Phenylephrine 1.25 MG/ML / Sulfacetamide Sodium 150 MG/ML Ophthalmic Solution|Ophthalmic Solution|Phenylephrine 1.25 MG/ML / Sulfacetamide Sodium 150 MG/ML Ophthalmic Solution||Phenylephrine/Sulfacetamide (Ophthalmic)|Ophthalmic|Sol|0.125-15%||||1158134|SCDG|Phenylephrine / Sulfacetamide Ophthalmic Product
1000656|1000647|SBD|Pilocarpine Hydrochloride 10 MG/ML Ophthalmic Solution [Isoptocarpine]|Ophthalmic Solution|Pilocarpine Hydrochloride 10 MG/ML Ophthalmic Solution|ISOPTOCARPINE|ISOPTOCARPINE (Ophthalmic)|Ophthalmic|Sol|1%||||1167153|SBDG|Isoptocarpine Ophthalmic Product
1000660|1000647|SBD|Pilocarpine Hydrochloride 10 MG/ML Ophthalmic Solution [Pilocar]|Ophthalmic Solution|Pilocarpine Hydrochloride 10 MG/ML Ophthalmic Solution|PILOCAR|PILOCAR (Ophthalmic)|Ophthalmic|Sol|1%||||1181235|SBDG|Pilocar Ophthalmic Product
1000664||SCD|Pilocarpine Hydrochloride 100 MG/ML Ophthalmic Solution|Ophthalmic Solution|Pilocarpine Hydrochloride 100 MG/ML Ophthalmic Solution||Pilocarpine (Ophthalmic)|Ophthalmic|Sol|10%||||1158735|SCDG|Pilocarpine Ophthalmic Product
1000668||SCD|Pilocarpine Hydrochloride 2.5 MG/ML Ophthalmic Solution|Ophthalmic Solution|Pilocarpine Hydrochloride 2.5 MG/ML Ophthalmic Solution||Pilocarpine (Ophthalmic)|Ophthalmic|Sol|0.25%||||1158735|SCDG|Pilocarpine Ophthalmic Product
1000670|1000668|SBD|Pilocarpine Hydrochloride 2.5 MG/ML Ophthalmic Solution [Isoptocarpine]|Ophthalmic Solution|Pilocarpine Hydrochloride 2.5 MG/ML Ophthalmic Solution|ISOPTOCARPINE|ISOPTOCARPINE (Ophthalmic)|Ophthalmic|Sol|0.25%||||1167153|SBDG|Isoptocarpine Ophthalmic Product
1000673||SCD|Sulfacetamide Sodium 0.1 MG/MG Ophthalmic Ointment|Ophthalmic Ointment|Sulfacetamide Sodium 0.1 MG/MG Ophthalmic Ointment||Sulfacetamide (Ophthalmic)|Ophthalmic|Ointment|10%||||1162336|SCDG|Sulfacetamide Ophthalmic Product
1000678||SCD|Sulfacetamide Sodium 0.1 MG/MG Medicated Bar Soap|Medicated Bar Soap|Sulfacetamide Sodium 0.1 MG/MG Medicated Bar Soap||Sulfacetamide (Soap)|Soap|Medicated Bar Soap|10%||||1294744|SCDG|Sulfacetamide Soap Product
1000682|1000673|SBD|Sulfacetamide Sodium 0.1 MG/MG Ophthalmic Ointment [Cetamide]|Ophthalmic Ointment|Sulfacetamide Sodium 0.1 MG/MG Ophthalmic Ointment|CETAMIDE|CETAMIDE (Ophthalmic)|Ophthalmic|Ointment|10%||||1167368|SBDG|Cetamide Ophthalmic Product
1000686|1000673|SBD|Sulfacetamide Sodium 0.1 MG/MG Ophthalmic Ointment [Sodium Sulamyd]|Ophthalmic Ointment|Sulfacetamide Sodium 0.1 MG/MG Ophthalmic Ointment|SODIUM SULAMYD|SODIUM SULAMYD (Ophthalmic)|Ophthalmic|Ointment|10%||||1184808|SBDG|Sodium Sulamyd Ophthalmic Product
1000713||SCD|Sulfacetamide Sodium 0.1 MG/MG Topical Gel|Topical Gel|Sulfacetamide Sodium 0.1 MG/MG Topical Gel||Sulfacetamide (Topical)|Topical|Gel|10%||||1162338|SCDG|Sulfacetamide Topical Product
1000715|1000713|SBD|Sulfacetamide Sodium 0.1 MG/MG Topical Gel [Ovace]|Topical Gel|Sulfacetamide Sodium 0.1 MG/MG Topical Gel|OVACE|OVACE (Topical)|Topical|Gel|10%||||1185739|SBDG|Ovace Topical Product
1000717|1000713|SBD|Sulfacetamide Sodium 0.1 MG/MG Topical Gel [Seb-Prev]|Topical Gel|Sulfacetamide Sodium 0.1 MG/MG Topical Gel|SEB-PREV|SEB-PREV (Topical)|Topical|Gel|10%||||1177748|SBDG|Seb-Prev Topical Product
1000728|999604|SBD|Sulfacetamide Sodium 100 MG/ML / Sulfur 10 MG/ML Medicated Liquid Soap [Sulzee]|Medicated Liquid Soap|Sulfacetamide Sodium 100 MG/ML / Sulfur 10 MG/ML Medicated Liquid Soap|SULZEE|SULZEE (Soap)|Soap|Medicated Liquid Soap|10-1%||||1296214|SBDG|Sulzee Soap Product
1000731||SCD|Sulfacetamide Sodium 100 MG/ML / Sulfur 20 MG/ML Topical Cream|Topical Cream|Sulfacetamide Sodium 100 MG/ML / Sulfur 20 MG/ML Topical Cream||Sulfacetamide/Sulfur (Topical)|Topical|Cream|10-2%||||1162333|SCDG|Sulfacetamide / Sulfur Topical Product
1000736|1000731|SBD|Sulfacetamide Sodium 100 MG/ML / Sulfur 20 MG/ML Topical Cream [Avar]|Topical Cream|Sulfacetamide Sodium 100 MG/ML / Sulfur 20 MG/ML Topical Cream|AVAR|AVAR (Topical)|Topical|Cream|10-2%||||1175673|SBDG|Avar Topical Product
1000859||SCD|Sulfacetamide Sodium 100 MG/ML / Sulfur 40 MG/ML Medicated Liquid Soap|Medicated Liquid Soap|Sulfacetamide Sodium 100 MG/ML / Sulfur 40 MG/ML Medicated Liquid Soap||Sulfacetamide/Sulfur (Soap)|Soap|Medicated Liquid Soap|10-4%||||1294875|SCDG|Sulfacetamide / Sulfur Soap Product
